Time,Open,High,Low,Latest,Change,%Change,Volume
4/23/24,417.2608,422.7249,415.3782,421.525,6.1979,1.49%,44757972
4/24/24,424.6289,426.1461,420.6623,422.953,1.428,0.34%,48847680
4/25/24,415.7436,421.7729,414.6528,420.9102,-2.0428,-0.48%,57874763
4/26/24,424.0537,428.9426,423.3596,427.4055,6.4953,1.54%,42227071
4/29/24,429.5178,430.1425,426.3941,429.141,1.7355,0.41%,30274580
4/30/24,427.5543,428.9525,420.9697,421.049,-8.092,-1.89%,44033124
5/1/24,419.621,426.5527,417.1518,418.0046,-3.0444,-0.72%,52691132
5/2/24,421.753,424.2422,417.122,423.3397,5.3351,1.28%,36866462
5/3/24,430.8169,432.8398,429.012,431.8482,8.5085,2.01%,48923207
5/6/24,433.653,436.6676,432.8795,436.5784,4.7302,1.10%,30481409
5/7/24,437.0247,438.2841,435.914,436.6478,0.0694,0.02%,31256676
5/8/24,434.0199,437.7982,433.9009,436.39,-0.2578,-0.06%,25106079
5/9/24,436.6577,437.9171,434.8033,437.342,0.952,0.22%,24786815
5/10/24,438.8493,440.6045,436.8253,438.3733,1.0313,0.24%,27344549
5/13/24,440.2872,440.3864,437.9667,439.3848,1.0115,0.23%,23187478
5/14/24,438.9584,442.7415,438.77,442.211,2.8262,0.64%,34768263
5/15/24,444.6901,449.3708,443.1729,449.1229,6.9119,1.56%,41813313
5/16/24,448.9345,450.898,448.042,448.2106,-0.9123,-0.20%,35072899
5/17/24,448.3395,448.9444,445.7908,447.9924,-0.2182,-0.05%,36104808
5/20/24,448.2106,451.7805,448.0172,451.1161,3.1237,0.70%,24680030
5/21/24,449.2617,452.1871,449.0634,451.9987,0.8826,0.20%,23362539
5/22/24,452.2565,453.0102,449.3014,451.9094,-0.0893,-0.02%,25331262
5/23/24,456.7091,456.7388,448.082,449.8766,-2.0328,-0.45%,41243157
5/24/24,451.493,455.4001,449.7848,454.1308,4.2542,0.95%,29918917
5/28/24,455.3505,455.9058,452.8813,455.8463,1.7155,0.38%,26437283
5/29/24,451.6814,454.4184,451.5425,452.6334,-3.2129,-0.70%,29989303
5/30/24,451.7012,451.8401,446.4553,447.7841,-4.8493,-1.07%,30972408
5/31/24,448.0122,448.7064,439.36,446.9511,-0.833,-0.19%,56411768
6/3/24,450.779,451.7805,444.1646,449.351,2.3999,0.54%,33274904
6/4/24,449.0931,451.7756,447.3687,450.5806,1.2296,0.27%,23967283
6/5/24,454.1605,459.7436,450.6183,459.6642,9.0836,2.02%,34101805
6/6/24,460.3485,460.6658,458.3354,459.5056,-0.1586,-0.03%,22151536
6/7/24,459.1387,461.8558,457.9883,459.099,-0.4066,-0.09%,26046925
6/10/24,457.9685,461.3104,457.6809,460.9534,1.8544,0.40%,20893951
6/11/24,459.6742,464.2358,458.1768,464.1168,3.1634,0.69%,22238666
6/12/24,468.0537,472.5261,467.3595,470.1957,6.0789,1.31%,34822914
6/13/24,473.7359,474.4003,470.4634,472.7442,2.5485,0.54%,26076476
6/14/24,472.5459,475.2631,472.0798,475.1936,2.4494,0.52%,23569164
6/17/24,475.4614,482.7996,474.1524,481.0147,5.8211,1.22%,37366124
6/18/24,480.9651,481.8477,479.3983,481.1634,0.1487,0.03%,24644028
6/20/24,482.3634,482.7786,475.6201,477.4546,-3.7088,-0.77%,34203857
6/21/24,477.177,478.5107,474.678,476.1754,-1.2792,-0.27%,39764527
6/24/24,474.9458,476.6839,470.6153,470.7543,-5.4211,-1.14%,38007970
6/25/24,472.85,476.4356,471.9065,476.1377,5.3834,1.14%,29449381
6/26/24,475.3133,477.6672,474.8961,477.1209,0.9832,0.21%,22891934
6/27/24,476.8726,479.8325,476.0582,478.3525,1.2316,0.26%,26400666
6/28/24,479.1472,483.9047,475.2239,475.8695,-2.483,-0.52%,35119029
7/1/24,476.7932,479.2266,473.0338,478.6605,2.791,0.59%,25067849
7/2/24,477.1607,483.7458,477.0315,483.6862,5.0257,1.05%,26905482
7/3/24,482.9314,487.8479,482.9314,487.7188,4.0326,0.83%,18187814
7/5/24,488.563,493.2412,488.2651,492.8042,5.0854,1.04%,28689945
7/8/24,493.1717,494.5274,492.1486,493.9762,1.172,0.24%,22259957
7/9/24,495.4958,496.6182,492.8836,494.4033,0.4271,0.09%,25876214
7/10/24,496.3301,500.1143,495.0191,499.5582,5.1549,1.04%,28237887
7/11/24,499.6674,499.876,487.4059,488.6027,-10.9555,-2.19%,50306763
7/12/24,489.1789,496.2407,488.712,491.4732,2.8705,0.59%,37362107
7/15/24,493.2511,497.6214,490.7481,492.7942,1.321,0.27%,31363432
7/16/24,494.2543,495.0687,489.8145,492.9829,0.1887,0.04%,26127316
7/17/24,484.9774,485.4923,478.442,478.5115,-14.4714,-2.94%,56651869
7/18/24,482.2461,482.4248,473.0487,476.2469,-2.2646,-0.47%,49683342
7/19/24,475.9092,478.432,470.7344,472.0256,-4.2213,-0.89%,42329100
7/22/24,477.9056,480.0808,474.4758,479.0578,7.0322,1.49%,40574428
7/23/24,478.1539,481.1535,476.8925,477.3693,-1.6885,-0.35%,23440944
7/24/24,470.6153,470.9828,459.3818,460.2459,-17.1234,-3.59%,59219132
7/25/24,460.5836,464.775,452.5483,455.1704,-5.0755,-1.10%,59660219
7/26/24,459.5208,462.7786,456.6603,459.8386,4.6682,1.03%,40264438
7/29/24,462.5601,464.7452,458.4928,460.7624,0.9238,0.20%,28410556
7/30/24,462.6992,463.4054,451.0783,454.4354,-6.327,-1.37%,41598562
7/31/24,464.7055,469.5922,463.2554,467.8838,13.4484,2.96%,44855494
8/1/24,468.5692,472.3336,452.8959,456.551,-11.3328,-2.42%,57039701
8/2/24,447.8404,450.5022,441.4638,445.7148,-10.8362,-2.37%,66774840
